Polarité	Subjectivité	Texte	Indices
0.0	0.0	Au nom du père et du fils : Gaston Onkelinx et Alain Mathot sont aussi candidats. http://bit.ly/9zEB01	""
0.1525	0.4	ce n'est pas mauvais. Au nom du père et du fils : Gaston Onkelinx et Alain Mathot sont aussi candidats. http://bit.ly/9zEB01	"pas mauvais, 0.355, 0.8, None"
0.0	0.0	@GeoffroyCoomans : A mon avis Michel Daerden doit avoir des origines arabes, ça en ferait un 'Al cool' ... # okjesors	""
0.0	0.0	RT @michelhenrion: Après le bus Mathot, le camion Daerden, la caravane las-vegasienne et ,elle, légale de C Michel.http://twitpic.com/1vslcn	""
0.0	0.0	Après le bus Mathot, le camion Daerden, la caravane las-vegasienne et ,elle, légale de Charles Michel.# be1306 # MR http://twitpic.com/1vslcn	""
0.13	0.13	RT @poplitic: sympathiek - bart de wever et michel daerden sont les deux personnalités politiques les plus sympas. ça... http://tumblr.com/xntbclahg	"politiques, 0.0, 0.0, None
plus sympas, 0.26, 0.26, None
"
0.13	0.13	sympathiek - bart de wever et michel daerden sont les deux personnalités politiques les plus sympas. ça... http://tumblr.com/xntbclahg	"politiques, 0.0, 0.0, None
plus sympas, 0.26, 0.26, None
"
-0.0766666666667	0.466666666667	Michel Daerden et Bart De Wever sont les politiciens les plus cool selon 'les jeunes' (cons?) ☛ http://redi.be/KJAJjYjvo	"plus, 0.15, 0.1, None
jeunes, 0.32, 0.4, None
"
0.15	0.1	Daerden et De Wever sont les politiciens les plus cool: BRUXELLES Michel Daerden et Bart De Wever sont considér... http://bit.ly/bdE3aF	"plus, 0.15, 0.1, None"
0.15	0.1	# Lavenir Daerden et De Wever, politiciens les plus cool: Michel Daerden et Bart De Wever sont considérés comme les... http://bit.ly/cWTtBg	"plus, 0.15, 0.1, None"
0.15	0.1	Michel Daerden et Bart De Wever sont les politiciens les plus cool http://bit.ly/bIqLUK	"plus, 0.15, 0.1, None"
0.156666666667	0.166666666667	# MTVcoolAwards Michel Daerden et Bart De Wever personnalités politiques les plus cool chez les jeunes... Au secours...	"politiques, 0.0, 0.0, None
plus, 0.15, 0.1, None
jeunes, 0.32, 0.4, None
"
0.323333333333	0.35	# MTVcoolAwards Michel Daerden et Bart De Wever personnalités politiques les plus populaires chez les jeunes... Au secours...	"politiques, 0.0, 0.0, None
plus populaires, 0.65, 0.65, None
jeunes, 0.32, 0.4, None
"
0.0	0.0	@audrey_80 Extrait -je suppose de - Didier Reynders face aux Belges, jeudi soir sur # RTL-TVI + # sldb	""
-0.05	0.0	Avec Didier Reynders, j'ai prouvé que le MR n'acceptait pas les propositions de Jean-Luc Dehaene concernant BHV.... http://bit.ly/9g4G9x	""
0.0	0.0	Le piratage de la page de Didier Reynders a entraîné la réinitialisation de cette page... Il faut donc se refaire... http://fb.me/C5LdsbNE	""
0.175	0.35	@PEDumont je suis convaincu qu'il faut construire et pas détruire. Didier Reynders l'a clairement montré hier soir et ce matin.	"clairement, 0.25, 0.5, None"
0.0	0.0	RT @FredCauderlier: Pour revoir le SLDB consacré à Didier REYNDERS: http://video.rtlinfo.be/Video/173671.aspx# sldb # BelRTL # be1306	""
0.0	0.0	Didier Reynders face aux Belges http://video.rtlinfo.be/Video/173692.aspx	""
0.0	0.0	RT @FredCauderlier: Pour revoir le SLDB consacré à Didier REYNDERS: http://video.rtlinfo.be/Video/173671.aspx # sldb # BelRTL # be1306	""
0.0	0.0	RT @FredCauderlier: Pour revoir le SLDB consacré à Didier REYNDERS: http://video.rtlinfo.be/Video/173671.aspx # sldb # BelRTL # be1306	""
0.0	0.0	Pour revoir le SLDB consacré à Didier REYNDERS: http://video.rtlinfo.be/Video/173671.aspx # sldb # BelRTL # be1306	""
0.183333333333	0.166666666667	Divertissement: Remorque de Papa illégale, à Ensival/Didier Reynders en direct dans Bel Matin - RTL… http://j.mp/9AKRTm	"direct, 0.2, 0.2, None"
0.0	0.0	Didier Reynders face aux Belges http://bit.ly/9Pm74n	""
0.4	0.4	Didier Reynders le président du MR face aux auditeurs de Bel RTL ce matin, à ses côtés Sabine Laruelle.	""
0.4	0.4	Didier Reynders face aux auditeurs de Bel RTL ce matin. Le président du MR répond à vos questions entre 7h et 9h.	""
0.2375	0.275	Y a comme un bug dans la vidéo de rediffusion de Huis Clos sur rtbf.be! La 1ière minute, un regal http://bit.ly/bYhDVo (cc @johannemontay)	""
-0.05	0.3	A écouté Huis Clos entre Di Rupo et Reynders http://bit.ly/cqN2ZR La différence est vraiment ténue entre les deux. C'en est bluffant.	"vraiment, 0.0, 0.5, None"
0.333333333333	0.6	Didier Reynders a été excellent sur RTL-TVI, même les experts de BEL RTL le reconnaissent. Bravo Président, bravo Didier !	"excellent !, 0.625, 0.9, None"
-0.05	0.15	Huis Clos entre Elio Di Rupo (PS) et Didier Reynders (MR): Ces deux là se connaissent bien, ils connaissent leur p... http://bit.ly/9qD6Wh	""
-0.05	0.15	Huis Clos entre Elio Di Rupo (PS) et Didier Reynders (MR): Ces deux là se connaissent bien, ils connaissent leur p... http://bit.ly/9qD6Wh	""
0.1	0.1	petit scoop: Didier REYNDERS séduit sur le plan de la comm' les chroniqueurs de Sans Langue de Bois, # sldb # BelRTL	""
0.216666666667	0.466666666667	Didier Reynders ,ds face aux belges ds 10 min sur RTL , et avant Sans Langue de Bois sur Bel rtl ;-)	";-), 0.25, 1.0, mood"
0.0	0.0	Liège: ce jeudi, face à face avec Didier Reynders, tête de liste MR http://bit.ly/b4uB1A	""
0.0	0.0	A 13h, Joelle Milquet commentera son bulletin @politiclub http://bit.ly/bXr8Ix no comment de @dreynders http://bit.ly/do00dO	""
0.4	0.4	en route vers RTL pour préparer le Bel RTL SOIR et le SLDB autour de Didier REYNDERS RDV dès 18h sur BelRTL # BelRTL	""
0.0	0.0	Laurette ONKELINX est illustrée par Joëlle MILQUET sur le site de twizz.be....	""
0.0	0.0	Appelez Laurette Onkelinx sur la hotline de Sud Presse: Laurette Onkelinx sera ce jeudi dans les bureaux de Sud Pr... http://bit.ly/bVknQV	""
0.1	0.2	Allô, Laurette à l'appareil. Laurette Onkelinx répond vous répond entre 12 et 13h surla ligne gratuite de Sud Presse 080021146	"gratuite, 0.1, 0.2, None"
0.15	0.2	Laurette Onkelinx (PS) décroche le téléphone et vous répond en direct. Dès midi, ce jeudi. Et c'est gratuit. Le numéro : 0800/21.146	"direct, 0.2, 0.2, None
gratuit, 0.1, 0.2, None
"
0.0	0.0	@azizlerouche Demande à Yvan Mayeur, le Maurice Noël des CPAS...	""
0.0	0.0	C'est quoi ce bulletin, Joelle Milquet http://bit.ly/dlpbvh # be1306 # elections [video]	""
0.0	0.0	@Mateusz Il y a celle-là aussi http://bit.ly/dlpbvh avec Joëlle Milquet	""
0.0	0.0	Laurette ONKELINX est illustrée par Joëlle MILQUET sur le site de twizz.be....	""
0.0	0.0	Joëlle Milquet: On va y arriver http://bit.ly/bFGwcG	""
0.075	0.325	RT @Le_Bux: Après L'Union fait la force et Même pas peur de De Wever, Joëlle Milquet proudly presents: On va y arriver! # CDH # slogan # Be1306	""
0.0	0.5	Méthode Coué ! RT @Le_Bux: Après L'Union fait la force et Même pas peur de De Wever, Joëlle Milquet On va y arriver! # Be1306	""
0.075	0.325	Après L'Union fait la force et Même pas peur de De Wever, Joëlle Milquet proudly presents: On va y arriver! # CDH # slogan # Be1306	""
0.0	0.0	A 13h, Joelle Milquet commentera son bulletin @politiclub http://bit.ly/bXr8Ix no comment de @dreynders http://bit.ly/do00dO	""
-0.27	0.125	RT @tetedeliste: Rudy Aernoudt – PP bat Joelle Milquet de peu http://bit.ly/aM3BPF # be1306 # déception	"déception, -0.5, 0.0, None"
